Unit,,,,,,Sec,,,,V,C,MHz,dBm,mA,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,fs,,,Sec,,,
HighL,,,,,,,,,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,
PID-14,1,1,2,-54,1,9.619,12,,,3.29999995231628,0,2605.10498046875,-6.36933416366577,9.4552755355835,-77.3855361938477,-101.557983398438,-121.754455566406,-140.019790649414,-149.488021850586,-155.153396606445,64.3145217895508,1,2012_12_14 12:52:22,0.223, Sim-StriHandler-NA, PASS, Bin1
PID-15,1,1,3,-54,1,9.627,12,,,3.29999995231628,0,2609.42602539063,-7.01546710968018,9.44642162322998,-77.0612258911133,-103.559761047363,-124.486503601074,-142.466415405273,-151.789947509766,-158.831619262695,49.3171348571777,1,2012_12_14 12:52:32,0.221, Sim-StriHandler-NA, PASS, Bin1
PID-16,1,1,7,-54,1,9.606,12,,,3.29999995231628,0,2598.65161132813,-5.93812078475952,9.45894718170166,-78.1257934570313,-104.086456298828,-125.164901733398,-143.10969543457,-152.512435913086,-154.516220092773,43.0498237609863,1,2012_12_14 12:52:42,0.242, Sim-StriHandler-NA, PASS, Bin1
PID-17,1,1,8,-54,1,9.654,12,,,3.29999995231628,0,2604.91870117188,-6.44883197784424,9.39918613433838,-74.0547027587891,-96.5204086303711,-116.97599029541,-135.209091186523,-146.924819946289,-152.968597412109,111.083885192871,1,2012_12_14 12:52:51,0.225, Sim-StriHandler-NA, PASS, Bin1
PID-18,1,1,9,-54,1,9.608,12,,,3.29999995231628,0,2609.60913085938,-7.29732364654541,9.50353908538818,-77.703498840332,-104.981369018555,-128.107803344727,-144.238311767578,-151.698211669922,-153.511352539063,35.6092834472656,1,2012_12_14 12:53:01,0.232, Sim-StriHandler-NA, PASS, Bin1
PID-19,1,1,13,-54,1,9.613,12,,,3.29999995231628,0,2597.57763671875,-6.06955904006958,9.3684139251709,-74.502555847168,-96.0702362060547,-116.615882873535,-134.766311645508,-145.210037231445,-152.522994995117,117.227317810059,1,2012_12_14 12:53:11,0.249, Sim-StriHandler-NA, PASS, Bin1
PID-20,1,1,14,-54,1,9.608,12,,,3.29999995231628,0,2605.8203125,-6.44779438018799,9.42655563354492,-73.7134704589844,-95.9650421142578,-116.624488830566,-134.896636962891,-146.548889160156,-154.487976074219,118.069511413574,1,2012_12_14 12:53:21,0.26, Sim-StriHandler-NA, PASS, Bin1
PID-21,1,1,15,-54,1,9.603,12,,,3.29999995231628,0,2609.31396484375,-7.0003199005127,9.43071174621582,-78.5693511962891,-100.90323638916,-121.076301574707,-138.838638305664,-149.948867797852,-155.837036132813,69.598503112793,1,2012_12_14 12:53:31,0.223, Sim-StriHandler-NA, PASS, Bin1
PID-22,1,1,19,-54,1,9.606,12,,,3.29999995231628,0,2595.134765625,-5.92612546920776,9.24144268035889,-76.7448120117188,-99.9163208007813,-119.796539306641,-138.0380859375,-147.712875366211,-153.807266235352,80.962890625,1,2012_12_14 12:53:41,0.241, Sim-StriHandler-NA, PASS, Bin1
PID-23,1,1,15,-53,1,9.644,12,,,3.29999995231628,0,2606.64135742188,-6.29001039505005,9.42126655578613,-72.8536758422852,-95.4342498779297,-115.838203430176,-134.214126586914,-145.75325012207,-155.449035644531,128.641967773438,1,2012_12_14 12:53:51,0.317, Sim-StriHandler-NA, PASS, Bin1
